FID,Id,gridcode,ActionType,F_AREA
0,12,1,clearing,1026
1,13,1, ,9
2,14,1, ,9
3,22,1, ,351
4,27,1, ,9
5,35,1, ,126
6,38,1, ,234
7,46,1, ,9
8,48,1, ,9
9,58,1, ,63
10,62,1, ,27
11,63,1, ,72
12,65,1, ,144
13,67,1, ,9
14,68,1, ,9
15,69,1, ,9
16,73,1, ,9
17,77,1, ,18
18,78,1, ,9
19,79,1, ,126
20,80,1, ,27
21,83,1, ,9
22,84,1, ,9
23,85,1, ,45
24,86,1, ,36
25,87,1, ,27
26,88,1, ,9
27,89,1, ,90
28,90,1, ,18
29,92,1, ,9
30,93,1, ,27
31,94,1, ,18
32,95,1, ,36
33,96,1, ,9
34,97,1, ,9
35,102,1, ,9
36,103,1, ,27
37,104,1, ,117
38,105,1, ,81
39,108,1, ,9
40,109,1, ,63
41,110,1, ,9
42,111,1, ,9
43,118,1, ,45
44,119,1, ,9
45,120,1, ,9
46,123,1, ,18
47,125,1, ,270
48,126,1, ,27
49,127,1, ,9
50,128,1, ,27
51,129,1, ,432
52,134,1, ,18
53,137,1, ,18
54,143,1, ,54
55,183,1, ,18
56,184,1, ,9
57,185,1, ,9
58,186,1, ,9
59,187,1, ,189
60,188,1, ,468
61,189,1, ,144
62,190,1, ,18
63,191,1, ,2691
64,192,1, ,72
65,193,1, ,9
66,194,1, ,9
67,198,1, ,81
68,200,1, ,9
69,201,1, ,270
70,205,1, ,9
71,206,1, ,1467
72,208,1, ,9
73,210,1, ,9
74,211,1, ,18
75,212,1, ,9
76,213,1, ,279
77,214,1, ,9
78,215,1, ,9
79,216,1, ,72
80,218,1, ,9
81,219,1, ,9
82,220,1, ,9
83,222,1, ,27
84,223,1, ,18
85,224,1, ,126
86,225,1, ,18
87,228,1, ,693
88,229,1, ,9
89,232,1, ,9
90,233,1, ,9
91,234,1, ,9
92,239,1, ,9
93,241,1, ,3906
94,242,1, ,9
95,243,1, ,9
96,244,1, ,9
97,245,1, ,1656
98,246,1, ,9
99,248,1, ,9
100,249,1, ,18
101,250,1, ,63
102,255,1, ,9
103,259,1, ,9
104,260,1, ,585
105,261,1, ,36
106,262,1, ,180
107,263,1, ,9
108,264,1, ,441
109,265,1, ,9
110,266,1, ,54
111,267,1, ,9
112,268,1, ,9
113,269,1, ,9
114,270,1, ,27
115,271,1, ,252
116,272,1, ,63
117,275,1, ,9
118,277,1, ,135
119,278,1, ,36
120,279,1, ,1692
121,280,1, ,81
122,281,1, ,477
123,282,1, ,9
124,283,1, ,18
125,284,1, ,63
126,287,1, ,9
127,288,1, ,9
128,289,1, ,9
129,290,1, ,9
130,291,1, ,9
131,292,1, ,9
132,293,1, ,63
133,294,1, ,9
134,295,1, ,9
135,298,1, ,468
136,299,1, ,18
137,300,1, ,396
138,312,1, ,612
139,315,1, ,9
140,317,1, ,9
141,318,1, ,9
142,319,1, ,9
143,322,1, ,126
144,324,1, ,9
145,325,1, ,99
146,326,1, ,4770
147,327,1, ,9
148,328,1, ,9
149,329,1, ,621
150,330,1, ,9
151,332,1, ,9
152,333,1, ,54
153,334,1, ,9
154,336,1, ,9
155,337,1, ,9
156,338,1, ,108
157,340,1, ,9
158,341,1, ,9
159,342,1, ,54
160,343,1, ,9
161,344,1, ,9
162,346,1, ,9
163,347,1, ,11223
164,348,1, ,9
165,349,1, ,657
166,353,1, ,198
167,354,1, ,261
168,355,1, ,9
169,356,1, ,9
170,357,1, ,36
171,359,1, ,180
172,360,1, ,324
173,361,1, ,9
174,365,1, ,702
175,368,1, ,9
176,369,1, ,135
177,371,1, ,189
178,372,1, ,9
179,373,1, ,54
180,374,1, ,9
181,375,1, ,9
182,376,1, ,18
183,377,1, ,36
184,378,1, ,2565
185,379,1, ,9
186,380,1, ,9
187,381,1, ,9
188,383,1, ,27
189,384,1, ,9
190,385,1, ,594
191,386,1, ,27
192,387,1, ,18
193,388,1, ,9
194,389,1, ,81
195,390,1, ,18
196,391,1, ,72
197,392,1, ,9
198,393,1, ,9
199,394,1, ,9
200,395,1, ,9
201,396,1, ,9
202,397,1, ,432
203,398,1, ,9
204,399,1, ,261
205,400,1, ,9
206,401,1, ,432
207,402,1, ,9
208,403,1, ,9
209,404,1, ,9
210,405,1, ,9
211,406,1, ,63
212,407,1, ,72
213,408,1, ,126
214,409,1, ,9
215,410,1, ,135
216,411,1, ,18
217,412,1, ,18
218,413,1, ,9
219,414,1, ,261
220,415,1, ,81
221,416,1, ,9
222,417,1, ,27
223,422,1, ,9
224,423,1, ,9
225,425,1, ,675
226,426,1, ,9
227,428,1, ,72
228,429,1, ,153
229,431,1, ,81
230,432,1, ,45
231,433,1, ,36
232,434,1, ,54
233,435,1, ,9
234,436,1, ,18
235,437,1, ,288
236,438,1, ,9
237,439,1, ,18
238,440,1, ,18
239,441,1, ,9
240,442,1, ,288
241,443,1, ,9
242,444,1, ,612
243,445,1, ,72
244,446,1, ,1584
245,447,1, ,9
246,448,1, ,27
247,449,1, ,18
248,450,1, ,4266
