FID,Id,gridcode,F_AREA
0,1,1,975
1,2,1,100
2,3,1,25
3,4,1,50
4,5,1,25
5,6,1,25
6,7,1,75
7,8,1,50
8,9,1,25
9,10,0,75
10,11,1,25
11,12,1,25
12,13,1,25
13,14,1,750
14,15,1,650
15,16,1,75
16,17,1,50
17,18,1,5800
18,19,1,25
19,20,1,25
20,21,1,25
21,22,1,25
22,23,1,25
23,24,1,25
24,25,1,25
25,26,1,25
26,27,0,25
27,28,1,75
28,29,1,25
29,30,1,25
30,31,1,25
31,32,1,425
32,33,1,75
33,34,1,50
34,35,1,25
35,36,1,25
36,37,1,650
37,38,1,25
38,39,1,175
39,40,1,75
40,41,1,25
41,42,1,25
42,43,1,300
43,44,1,50
44,45,1,25
45,46,1,25
46,47,1,400
47,48,1,25
48,49,1,50
49,50,1,25
50,51,1,25
51,52,1,250
52,53,1,75
53,54,1,25
54,55,1,1625
55,56,1,1075
56,57,1,575
57,58,1,50
58,59,1,25
59,60,1,50
60,61,1,50
61,62,1,25
62,63,1,50
63,64,1,25
64,65,1,125
65,66,1,25
66,67,1,25
67,68,1,1200
68,69,1,25
69,70,1,1250
70,71,1,50
71,72,1,675
72,73,1,1400
73,74,0,75
74,75,0,75
75,76,1,25
76,77,1,750
77,78,1,25
78,79,1,25
79,80,1,1175
80,81,1,225
81,82,1,25
82,83,1,25
83,84,1,50
84,85,1,25
85,86,1,25
86,87,1,900
87,88,1,25
88,89,1,50
89,90,1,4450
90,91,1,75
91,92,1,25
92,93,1,25
93,94,1,125
94,95,1,25
95,96,1,50
96,97,1,75
97,98,1,25
98,99,1,100
99,100,1,1075
100,101,1,50
101,102,1,25
102,103,1,25
103,104,1,50
104,105,1,25
105,106,1,25
106,107,1,25
107,108,0,50
108,109,1,25
109,110,1,25
110,111,1,25
111,112,1,25
112,113,1,25
113,114,1,175
114,115,0,25
115,116,1,25
116,117,0,25
117,118,1,25
118,119,0,150
119,120,1,25
120,121,1,50
121,122,1,50
122,123,1,25
123,124,0,50
124,125,1,25
125,126,1,50
126,127,1,25
127,128,1,25
128,129,0,25
129,130,1,50
130,131,1,25
131,132,1,25
132,133,0,25
133,134,1,50
134,135,1,25
135,136,1,25
136,137,0,25
137,138,0,25
138,139,1,25
139,140,1,50
140,141,0,50
141,142,1,125
142,143,1,50
143,144,1,25
144,145,1,10925
145,146,1,50
146,147,1,50
147,148,1,300
148,149,1,25
149,150,1,50
150,151,0,25
151,152,1,50
152,153,1,25
153,154,1,25
154,155,1,25
155,156,1,25
156,157,1,350
157,158,1,25
158,159,1,25
159,160,1,50
160,161,1,25
161,162,1,25
162,163,1,25
163,164,1,350
164,165,1,25
165,166,1,25
166,167,1,250
167,168,1,50
168,169,0,75
169,170,1,25
170,171,1,50
171,172,1,75
172,173,1,25
173,174,1,25
174,175,1,25
175,176,1,50
176,177,1,25
177,178,0,50
178,179,1,25
179,180,1,25
180,181,1,2050
181,182,1,3250
182,183,0,25
183,184,0,325
184,185,1,50
185,186,1,25
186,187,1,25
187,188,1,25
188,189,1,25
189,190,1,1075
190,191,1,25
191,192,1,25
192,193,1,25
193,194,1,25
194,195,1,50
195,196,1,50
196,197,1,35675
197,198,1,25
198,199,1,200
199,200,1,500
200,201,1,25
201,202,1,25
202,203,1,100
203,204,0,4124150
