FID,Id,gridcode,F_AREA
0,1,1,25
1,2,1,25
2,3,1,25
3,4,1,400
4,5,1,300
5,6,1,25
6,7,1,25
7,8,1,50
8,9,1,25
9,10,1,25
10,11,1,100
11,12,1,850
12,13,1,825
13,14,1,1425
14,15,1,25
15,16,1,25
16,17,1,25
17,18,1,25
18,19,1,50
19,20,1,400
20,21,1,25
21,22,1,850
22,23,1,100
23,24,1,150
24,25,1,75
25,26,1,25
26,27,1,25
27,28,1,50
28,29,1,50
29,30,1,25
30,31,1,50
31,32,1,25
32,33,1,150
33,34,1,350
34,35,1,75
35,36,1,50
36,37,1,25
37,38,1,150
38,39,1,25
39,40,1,50
40,41,1,375
41,42,1,25
42,43,1,50
43,44,1,25
44,45,1,25
45,46,1,25
46,47,1,50
47,48,1,225
48,49,1,100
49,50,1,275
50,51,1,100
51,52,1,25
52,53,1,200
53,54,1,25
54,55,1,25
55,56,1,25
56,57,1,50
57,58,1,25
58,59,1,25
59,60,1,100
60,61,0,25
61,62,1,75
62,63,1,25
63,64,1,550
64,65,1,875
65,66,1,150
66,67,1,25
67,68,1,25
68,69,1,25
69,70,1,25
70,71,1,50
71,72,1,25
72,73,1,300
73,74,1,25
74,75,1,525
75,76,0,25
76,77,1,175
77,78,0,25
78,79,1,50
79,80,1,25
80,81,1,1050
81,82,0,275
82,83,1,450
83,84,1,50
84,85,1,50
85,86,1,50
86,87,0,100
87,88,0,75
88,89,1,50
89,90,1,25
90,91,1,25
91,92,1,125
92,93,0,75
93,94,1,14500
94,95,0,175
95,96,0,150
96,97,0,50
97,98,1,125
98,99,0,275
99,100,1,25
100,101,0,600
101,102,1,11700
102,103,1,150
103,104,1,25
104,105,1,25
105,106,1,25
106,107,1,50
107,108,1,375
108,109,1,75
109,110,1,75
110,111,1,1250
111,112,1,425
112,113,1,450
113,114,1,25
114,115,1,25
115,116,1,25
116,117,1,50
117,118,1,100
118,119,1,2175
119,120,1,25
120,121,1,100
121,122,1,25
122,123,1,75
123,124,1,100
124,125,1,25
125,126,1,50
126,127,1,25
127,128,1,2100
128,129,1,25
129,130,0,75
130,131,1,25
131,132,0,25
132,133,0,175
133,134,1,850
134,135,0,175
135,136,1,25
136,137,1,275
137,138,1,75
138,139,1,25
139,140,1,25
140,141,1,125
141,142,1,25
142,143,1,25
143,144,1,25
144,145,1,25
145,146,1,1125
146,147,0,25
147,148,1,25
148,149,0,25
149,150,1,25
150,151,1,25
151,152,1,25
152,153,1,25
153,154,1,50
154,155,1,3350
155,156,1,25
156,157,1,725
157,158,1,178675
158,159,1,25
159,160,1,50
160,161,1,50
161,162,1,75
162,163,1,25
163,164,1,50
164,165,0,25
165,166,0,75
166,167,0,25
167,168,0,25
168,169,1,25
169,170,0,50
170,171,0,25
171,172,1,50
172,173,1,25
173,174,1,25
174,175,1,125
175,176,1,25
176,177,0,100
177,178,1,25
178,179,0,350
179,180,0,200
180,181,1,25
181,182,1,1250
182,183,1,75
183,184,1,100
184,185,1,25
185,186,0,725
186,187,1,25
187,188,0,275
188,189,0,225
189,190,0,250
190,191,1,15275
191,192,1,25
192,193,1,25
193,194,1,10300
194,195,1,25
195,196,1,25
196,197,0,75
197,198,0,25
198,199,0,25
199,200,1,25
200,201,1,25
201,202,0,200
202,203,0,75
203,204,1,975
204,205,1,400
205,206,1,50
206,207,1,100
207,208,1,25
208,209,1,175
209,210,1,50
210,211,1,25
211,212,1,25
212,213,1,100
213,214,1,125
214,215,1,50
215,216,1,50
216,217,1,25
217,218,1,125
218,219,1,50
219,220,1,25
220,221,1,250
221,222,1,75
222,223,1,25
223,224,1,6575
224,225,1,175
225,226,1,25
226,227,1,50
227,228,1,50
228,229,1,25
229,230,1,175
230,231,0,2150
231,232,1,25
232,233,1,2475
233,234,1,25
234,235,0,50
235,236,1,303850
236,237,1,75
237,238,1,75
238,239,1,25
239,240,1,25
240,241,1,175
241,242,1,50
242,243,1,25
243,244,1,25
244,245,0,50
245,246,0,25
246,247,1,6100
247,248,1,25
248,249,1,125
249,250,1,50
250,251,1,6500
251,252,1,25
252,253,1,50
253,254,1,75
254,255,1,25
255,256,1,50
256,257,1,25
257,258,1,25
258,259,1,150
259,260,1,2725
260,261,1,600
261,262,1,50
262,263,1,125
263,264,1,50
264,265,1,25
265,266,0,25
266,267,1,25
267,268,1,50
268,269,1,25
269,270,1,25
270,271,1,25
271,272,1,25
272,273,1,50
273,274,1,50
274,275,1,25
275,276,1,25
276,277,1,27625
277,278,1,50
278,279,1,50
279,280,1,50
280,281,1,25
281,282,1,25
282,283,1,25
283,284,1,25
284,285,1,25
285,286,1,25
286,287,1,925
287,288,1,350
288,289,1,2025
289,290,0,3579125
