FID,Id,gridcode,F_AREA
0,1,0,75
1,2,0,50
2,3,0,75
3,4,1,25
4,5,0,25
5,6,1,50
6,7,0,25
7,8,0,850
8,9,0,25
9,10,1,100
10,11,0,50
11,12,1,225
12,13,1,25
13,14,0,25
14,15,1,50
15,16,1,150
16,17,0,25
17,18,0,125
18,19,0,25
19,20,0,50
20,21,0,25
21,22,0,25
22,23,0,75
23,24,1,50
24,25,0,50
25,26,0,25
26,27,1,25
27,28,0,75
28,29,0,50
29,30,0,25
30,31,0,50
31,32,0,25
32,33,0,25
33,34,1,25
34,35,1,25
35,36,1,175
36,37,0,50
37,38,1,25
38,39,0,25
39,40,1,50
40,41,1,25
41,42,1,25
42,43,1,25
43,44,1,25
44,45,0,25
45,46,0,25
46,47,0,100
47,48,1,50
48,49,0,725
49,50,1,50
50,51,1,25
51,52,1,81575
52,53,1,25
53,54,0,25
54,55,1,200
55,56,1,175
56,57,1,125
57,58,0,50
58,59,0,25
59,60,0,75
60,61,0,50
61,62,1,125
62,63,0,125
63,64,0,50
64,65,1,525
65,66,1,225
66,67,1,150
67,68,1,100
68,69,1,44675
69,70,1,1875
70,71,1,75
71,72,0,25
72,73,0,75
73,74,0,25
74,75,0,25
75,76,1,25
76,77,1,50
77,78,0,25
78,79,1,25
79,80,1,25
80,81,0,25
81,82,0,25
82,83,0,25
83,84,0,25
84,85,0,25
85,86,0,25
86,87,0,25
87,88,0,150
88,89,0,25
89,90,0,25
90,91,0,25
91,92,0,25
92,93,0,25
93,94,0,25
94,95,0,25
95,96,1,25
96,97,0,25
97,98,1,250
98,99,1,100
99,100,1,50
100,101,1,25
101,102,0,25
102,103,0,25
103,104,0,25
104,105,1,325
105,106,0,25
106,107,0,25
107,108,0,75
108,109,1,2875
109,110,0,25
110,111,1,5975
111,112,1,125
112,113,1,25
113,114,1,25
114,115,0,25
115,116,1,25
116,117,1,25
117,118,0,25
118,119,0,25
119,120,0,25
120,121,0,25
121,122,0,425
122,123,0,25
123,124,0,25
124,125,0,75
125,126,0,50
126,127,0,25
127,128,1,1875
128,129,0,25
129,130,0,100
130,131,0,125
131,132,0,75
132,133,1,50
133,134,0,25
134,135,1,164825
135,136,0,75
136,137,0,25
137,138,0,25
138,139,0,50
139,140,0,25
140,141,0,50
141,142,1,100
142,143,1,25
143,144,0,25
144,145,0,25
145,146,0,25
146,147,1,50
147,148,1,25
148,149,0,50
149,150,0,25
150,151,0,400
151,152,1,25
152,153,0,25
153,154,0,25
154,155,0,25
155,156,1,100
156,157,1,75
157,158,0,25
158,159,0,8450
159,160,1,50
160,161,0,25
161,162,1,375
162,163,0,125
163,164,0,25
164,165,0,25
165,166,1,25
166,167,0,25
167,168,0,300
168,169,0,25
169,170,0,4350
170,171,0,25
171,172,1,25
172,173,0,25
173,174,0,25
174,175,0,200
175,176,0,50
176,177,1,25
177,178,1,25
178,179,1,75
179,180,0,50
180,181,0,25
181,182,1,25
182,183,0,25
183,184,1,25
184,185,1,25
185,186,1,50
186,187,1,150
187,188,0,25
188,189,0,25
189,190,1,25
190,191,0,75
191,192,0,150
192,193,0,50
193,194,0,25
194,195,0,25
195,196,0,25
196,197,0,50
197,198,0,50
198,199,0,25
199,200,0,925
200,201,0,75
201,202,1,100
202,203,0,25
203,204,1,356800
204,205,1,50
205,206,0,50
206,207,0,50
207,208,1,50
208,209,1,75
209,210,0,25
210,211,0,25
211,212,1,50
212,213,1,50
213,214,0,50
214,215,0,175
215,216,0,2975
216,217,0,50
217,218,1,50
218,219,0,25
219,220,0,2050
220,221,1,25
221,222,1,100
222,223,1,50
223,224,0,25
224,225,0,125
225,226,1,75
226,227,0,25
227,228,0,50
228,229,0,75
229,230,0,25
230,231,0,25
231,232,0,25
232,233,0,150
233,234,0,550
234,235,0,125
235,236,0,50
236,237,0,25
237,238,1,25
238,239,0,25
239,240,0,50
240,241,0,25
241,242,0,25
242,243,1,16700
243,244,0,25
244,245,0,25
245,246,0,50
246,247,0,25
247,248,0,50
248,249,0,25
249,250,0,50
250,251,0,25
251,252,0,50
252,253,0,25
253,254,0,25
254,255,0,25
255,256,0,25
256,257,0,25
257,258,1,4600
258,259,0,25
259,260,0,25
260,261,1,50
261,262,1,2375
262,263,1,462325
263,264,0,3031250
