FID,Id,gridcode,F_AREA,Stab_feat
0,1,214,25,Bioengineering (mineral)
1,2,214,25,Bioengineering (mineral)
2,3,214,25,Bioengineering (mineral)
3,4,212,25,ELJs (plantings)
4,5,214,25,Bioengineering (mineral)
5,6,214,25,Bioengineering (mineral)
6,7,212,25,ELJs (plantings)
7,8,212,25,ELJs (plantings)
8,9,212,50,ELJs (plantings)
9,10,214,25,Bioengineering (mineral)
10,11,214,25,Bioengineering (mineral)
11,12,214,25,Bioengineering (mineral)
12,13,214,25,Bioengineering (mineral)
13,14,214,25,Bioengineering (mineral)
14,15,212,125,ELJs (plantings)
15,16,214,75,Bioengineering (mineral)
16,17,214,25,Bioengineering (mineral)
17,18,212,75,ELJs (plantings)
18,19,212,350,ELJs (plantings)
19,20,212,25,ELJs (plantings)
20,21,214,25,Bioengineering (mineral)
21,22,212,25,ELJs (plantings)
22,23,214,25,Bioengineering (mineral)
23,24,212,25,ELJs (plantings)
24,25,214,25,Bioengineering (mineral)
25,26,212,25,ELJs (plantings)
26,27,212,25,ELJs (plantings)
27,28,212,750,ELJs (plantings)
28,29,214,25,Bioengineering (mineral)
29,30,212,25,ELJs (plantings)
